id,name,website,auth_address,current_commission,total_stake,vdp_stake,organic_stake,initial_tier,current_tier,dependency_ratio,Rewards_USD,MonthlyReturns_USD,EstimatedMonthlyReturns_USD,underwater_status,graduation_status
1,Monad Foundation - mf-mainnet-val-tsw-fra-001,https://www.monad.foundation/,0x675130B3CBB3E5575959AEC01978390B5EC4971A,0,10006171.660651978,0.0,10006171.660651978,,,0.0,0.0,0.0,0.0,true,false
2,Monad Foundation - mf-mainnet-val-lsn-jfk-011,https://www.monad.foundation/,0xFB1915F56855DEF26422FF3C600A2EAD57830521,0,10012315.241501253,0.0,10012315.241501253,,,0.0,0.0,0.0,0.0,true,false
3,gmonads.com,https://www.gmonads.com/,0xA63DD8FC7303BDD6CD66A66A49D4171146F89809,15,259767363.47997597,80000000.0,179767363.47997597,Tier 2a,Tier 2a,0.307967863738844,36002.155,5412.56,14511.323,false,true
4,B-Harvest,https://bharvest.io,0xF807DA338EB84E5C688EC4FD3D8DFBC9190CF0FE,15,114550526.25837892,80000000.0,34550526.25837892,Tier 2a,Tier 2a,0.698381776261358,16133.869,2431.999,2903.059,false,true
5,Alchemy,https://www.alchemy.com,0xED48036F83FA7E7FA3FE37B3D2287D53CAF92438,10,158320271.90858155,80000000.0,78320271.90858155,Tier 2a,Tier 2a,0.505304842112665,23282.849,2341.665,4464.32,false,true
6,ProStaking,https://prostaking.com/,0xAE56D07DFEBFC2FD6D740FE9BF84D440AAA86EEE,15,143880405.62533376,80000000.0,63880405.625333756,Tier 2a,Tier 2a,0.5560173371231725,20288.085,3055.202,5313.335,false,true
7,Staking4All,https://www.staking4all.org/,0x7E2D603D6867B05D2AFEB978AF6FD1EE8E4451D0,10,97248942.52784376,80000000.0,17248942.52784376,Tier 2a,Tier 2a,0.8226310530533004,14463.483,1459.735,1045.274,false,true
8,DSRV,https://dsrv.com,0xDE098C143118577D66F5985773C53CF5907B57A0,15,56088003.38302724,52500000.0,3588003.3830272406,Tier 3,Tier 3,0.9360290406751579,7795.238,1181.116,333.816,true,false
9,Everstake,https://everstake.one/,0x7D50E88C634E2150FDE22B7F1607FE669934FCE6,15,112947310.26354168,75000000.0,37947310.26354168,Tier 2b,Tier 2b,0.6640264369731458,15890.109,2395.48,3146.105,false,true
10,Stakin by The Tie,https://stakin.com/,0x98464488A21D8112060ED1178FAFAEEAA2E61D25,10,97919301.41786957,90000000.0,7919301.417869568,Tier 1,Tier 1,0.9191242042866091,14636.302,1477.094,506.49,true,false
11,Pier Two,https://piertwo.com/,0x8531F959D02683579F77886F61304DFB87FC12C7,10,108942347.72013961,75000000.0,33942347.72013961,Tier 2b,Tier 2b,0.6884375228691271,16346.218,1648.127,2024.832,false,true
12,Bitwise Onchain Solutions,https://onchain.bitwiseinvestments.com,0xE89207C96948B7494B39A307D1916287B17C72EC,15,114609880.78750017,75000000.0,39609880.78750017,Tier 2b,Tier 2b,0.6543938400831127,15918.46,2541.695,3774.121,false,true
13,kjnodes,https://kjnodes.com,0x3740283D64E29FBE696A706B7E11E04400B8B892,15,53198493.19121964,52500000.0,698493.1912196428,Tier 3,Tier 3,0.9868700568508785,7371.809,1117.549,102.364,true,false
